DATE,RELATED_EVENT,STATE,NUM_EVENTS,NUM_COUNTIES,PERCENT_COUNTIES,id
1-Jan-03,Drought,New Mexico,176,33,5.333333333,35000
1-Jan-04,Drought,New Mexico,22,33,0.666666667,35000
1-Jan-06,Drought,New Mexico,66,33,2,35000
1-Jan-11,Drought,New Mexico,423,33,12.81818182,35000
1-Jan-12,Drought,New Mexico,547,33,16.57575758,35000
1-Jan-13,Drought,New Mexico,604,33,18.3030303,35000
1-Jan-14,Drought,New Mexico,484,33,14.66666667,35000
1-Jan-15,Drought,New Mexico,96,33,2.909090909,35000
1-Jan-97,Drought,New York,1,62,0.016129032,36000
1-Jan-98,Drought,New York,11,62,0.177419355,36000
1-Jan-99,Drought,New York,65,62,1.048387097,36000
1-Jan-01,Drought,New York,29,62,0.467741935,36000
1-Jan-02,Drought,New York,120,62,1.935483871,36000
1-Jan-07,Drought,New York,4,62,0.064516129,36000
1-Jan-98,Drought,North Carolina,105,100,1.05,37000
1-Jan-99,Drought,North Carolina,139,100,1.39,37000
1-Jan-00,Drought,North Carolina,116,100,1.16,37000
1-Jan-01,Drought,North Carolina,208,100,2.08,37000
1-Jan-02,Drought,North Carolina,36,100,0.36,37000
1-Jan-04,Drought,North Carolina,16,100,0.16,37000
1-Jan-07,Drought,North Carolina,341,100,3.41,37000
1-Jan-08,Drought,North Carolina,314,100,3.14,37000
1-Jan-11,Drought,North Carolina,67,100,0.67,37000
1-Jan-06,Drought,North Dakota,29,53,0.547169811,38000
1-Jan-07,Drought,North Dakota,6,53,0.113207547,38000
1-Jan-12,Drought,North Dakota,45,53,0.849056604,38000
1-Jan-96,Drought,Ohio,30,88,0.340909091,39000
1-Jan-97,Drought,Ohio,5,88,0.056818182,39000
1-Jan-99,Drought,Ohio,251,88,2.852272727,39000
1-Jan-02,Drought,Ohio,9,88,0.102272727,39000
1-Jan-07,Drought,Ohio,21,88,0.238636364,39000
1-Jan-96,Drought,Oklahoma,7,77,0.090909091,40000
1-Jan-98,Drought,Oklahoma,9,77,0.116883117,40000
1-Jan-00,Drought,Oklahoma,48,77,0.623376623,40000
1-Jan-01,Drought,Oklahoma,48,77,0.623376623,40000
1-Jan-05,Drought,Oklahoma,84,77,1.090909091,40000
1-Jan-06,Drought,Oklahoma,783,77,10.16883117,40000
1-Jan-07,Drought,Oklahoma,74,77,0.961038961,40000
1-Jan-08,Drought,Oklahoma,7,77,0.090909091,40000
1-Jan-09,Drought,Oklahoma,93,77,1.207792208,40000
1-Jan-10,Drought,Oklahoma,1,77,0.012987013,40000
1-Jan-11,Drought,Oklahoma,617,77,8.012987013,40000
1-Jan-12,Drought,Oklahoma,576,77,7.480519481,40000
1-Jan-13,Drought,Oklahoma,554,77,7.194805195,40000
1-Jan-14,Drought,Oklahoma,541,77,7.025974026,40000
1-Jan-15,Drought,Oklahoma,218,77,2.831168831,40000
1-Jan-99,Drought,Oregon,6,36,0.166666667,41000
1-Jan-12,Drought,Oregon,1,36,0.027777778,41000
1-Jan-96,Drought,Pennsylvania,3,67,0.044776119,42000
1-Jan-97,Drought,Pennsylvania,63,67,0.940298507,42000
1-Jan-98,Drought,Pennsylvania,116,67,1.731343284,42000
1-Jan-99,Drought,Pennsylvania,205,67,3.059701493,42000
1-Jan-00,Drought,Pennsylvania,11,67,0.164179104,42000
1-Jan-01,Drought,Pennsylvania,51,67,0.76119403,42000
1-Jan-02,Drought,Pennsylvania,99,67,1.47761194,42000
1-Jan-05,Drought,Pennsylvania,10,67,0.149253731,42000
1-Jan-07,Drought,Pennsylvania,35,67,0.52238806,42000
1-Jan-08,Drought,Pennsylvania,18,67,0.268656716,42000
1-Jan-09,Drought,Pennsylvania,1,67,0.014925373,42000
1-Jan-10,Drought,Pennsylvania,32,67,0.47761194,42000
1-Jan-97,Drought,Puerto Rico,8,,,72000
1-Jan-00,Drought,Puerto Rico,8,,,72000
1-Jan-03,Drought,Puerto Rico,1,,,72000
1-Jan-05,Drought,Puerto Rico,6,,,72000
1-Jan-14,Drought,Puerto Rico,1,,,72000
1-Jan-12,Drought,Rhode Island,9,5,1.8,44000
1-Jan-96,Drought,South Carolina,9,46,0.195652174,45000
1-Jan-98,Drought,South Carolina,30,46,0.652173913,45000
1-Jan-99,Drought,South Carolina,86,46,1.869565217,45000
1-Jan-00,Drought,South Carolina,105,46,2.282608696,45000
1-Jan-01,Drought,South Carolina,166,46,3.608695652,45000
1-Jan-02,Drought,South Carolina,86,46,1.869565217,45000
1-Jan-04,Drought,South Carolina,15,46,0.326086957,45000
1-Jan-07,Drought,South Carolina,142,46,3.086956522,45000
1-Jan-08,Drought,South Carolina,117,46,2.543478261,45000
1-Jan-11,Drought,South Carolina,1,46,0.02173913,45000
1-Jan-99,Drought,South Dakota,48,66,0.727272727,46000
1-Jan-00,Drought,South Dakota,72,66,1.090909091,46000
1-Jan-02,Drought,South Dakota,26,66,0.393939394,46000
1-Jan-06,Drought,South Dakota,136,66,2.060606061,46000
1-Jan-07,Drought,South Dakota,20,66,0.303030303,46000
1-Jan-11,Drought,South Dakota,6,66,0.090909091,46000
1-Jan-12,Drought,South Dakota,260,66,3.939393939,46000
1-Jan-13,Drought,South Dakota,201,66,3.045454545,46000
1-Jan-98,Drought,Tennessee,39,95,0.410526316,47000
1-Jan-07,Drought,Tennessee,415,95,4.368421053,47000
1-Jan-08,Drought,Tennessee,215,95,2.263157895,47000
1-Jan-10,Drought,Tennessee,73,95,0.768421053,47000
1-Jan-11,Drought,Tennessee,45,95,0.473684211,47000
1-Jan-12,Drought,Tennessee,170,95,1.789473684,47000
1-Jan-96,Drought,Texas,543,254,2.137795276,48000
1-Jan-97,Drought,Texas,63,254,0.248031496,48000
1-Jan-98,Drought,Texas,691,254,2.720472441,48000
1-Jan-99,Drought,Texas,95,254,0.374015748,48000
1-Jan-00,Drought,Texas,636,254,2.503937008,48000
1-Jan-01,Drought,Texas,240,254,0.94488189,48000
1-Jan-02,Drought,Texas,52,254,0.204724409,48000
1-Jan-03,Drought,Texas,144,254,0.566929134,48000
1-Jan-05,Drought,Texas,294,254,1.157480315,48000
1-Jan-06,Drought,Texas,863,254,3.397637795,48000
1-Jan-07,Drought,Texas,62,254,0.244094488,48000
1-Jan-08,Drought,Texas,299,254,1.177165354,48000
1-Jan-09,Drought,Texas,557,254,2.192913386,48000
1-Jan-10,Drought,Texas,72,254,0.283464567,48000
1-Jan-11,Drought,Texas,1845,254,7.263779528,48000
1-Jan-12,Drought,Texas,1367,254,5.381889764,48000
1-Jan-13,Drought,Texas,1795,254,7.066929134,48000
1-Jan-14,Drought,Texas,1270,254,5,48000
1-Jan-15,Drought,Texas,502,254,1.976377953,48000
1-Jan-02,Drought,Utah,56,29,1.931034483,49000
1-Jan-03,Drought,Utah,84,29,2.896551724,49000
1-Jan-04,Drought,Utah,84,29,2.896551724,49000
1-Jan-05,Drought,Utah,84,29,2.896551724,49000
1-Jan-06,Drought,Utah,68,29,2.344827586,49000
1-Jan-07,Drought,Utah,72,29,2.482758621,49000
1-Jan-08,Drought,Utah,21,29,0.724137931,49000
1-Jan-09,Drought,Utah,23,29,0.793103448,49000
1-Jan-10,Drought,Utah,43,29,1.482758621,49000
1-Jan-11,Drought,Utah,18,29,0.620689655,49000
1-Jan-12,Drought,Utah,84,29,2.896551724,49000
1-Jan-13,Drought,Utah,63,29,2.172413793,49000
1-Jan-14,Drought,Utah,15,29,0.517241379,49000
1-Jan-15,Drought,Utah,15,29,0.517241379,49000
1-Jan-99,Drought,Vermont,2,14,0.142857143,50000
1-Jan-97,Drought,Virginia,28,133,0.210526316,51000
1-Jan-98,Drought,Virginia,158,133,1.187969925,51000
1-Jan-99,Drought,Virginia,232,133,1.744360902,51000
1-Jan-00,Drought,Virginia,2,133,0.015037594,51000
1-Jan-07,Drought,Virginia,125,133,0.939849624,51000
1-Jan-08,Drought,Virginia,117,133,0.879699248,51000
1-Jan-99,Drought,Washington,2,39,0.051282051,53000
1-Jan-01,Drought,Washington,19,39,0.487179487,53000
1-Jan-05,Drought,Washington,19,39,0.487179487,53000
1-Jan-97,Drought,West Virginia,41,55,0.745454545,54000
1-Jan-98,Drought,West Virginia,38,55,0.690909091,54000
1-Jan-99,Drought,West Virginia,263,55,4.781818182,54000
1-Jan-02,Drought,West Virginia,34,55,0.618181818,54000
1-Jan-05,Drought,West Virginia,44,55,0.8,54000
1-Jan-07,Drought,West Virginia,78,55,1.418181818,54000
1-Jan-08,Drought,West Virginia,3,55,0.054545455,54000
1-Jan-99,Drought,Wisconsin,22,72,0.305555556,55000
1-Jan-02,Drought,Wisconsin,20,72,0.277777778,55000
1-Jan-03,Drought,Wisconsin,95,72,1.319444444,55000
1-Jan-05,Drought,Wisconsin,142,72,1.972222222,55000
1-Jan-06,Drought,Wisconsin,36,72,0.5,55000
1-Jan-07,Drought,Wisconsin,107,72,1.486111111,55000
1-Jan-08,Drought,Wisconsin,64,72,0.888888889,55000
1-Jan-09,Drought,Wisconsin,207,72,2.875,55000
1-Jan-10,Drought,Wisconsin,71,72,0.986111111,55000
1-Jan-12,Drought,Wisconsin,204,72,2.833333333,55000
1-Jan-13,Drought,Wisconsin,79,72,1.097222222,55000
1-Jan-14,Drought,Wisconsin,6,72,0.083333333,55000
